overlay_borrow_ratio,hyper_borrow_ratio,hyper_short_leverage,funding_weight,borrow_weight,start_equity,end_equity,total_pnl,total_return,annualized_return,funding_pnl,borrow_interest,gross_carry_pnl,setup_cost,close_cost,operation_cost,net_carry_pnl,directional_pnl,max_drawdown,annualized_vol,sharpe,funding_events,min_ltv,max_ltv,min_health_factor,carry_entries,carry_exits,carry_time_share,spot_time_share,long_perp_time_share,short_perp_time_share,edge_apr_mean,edge_apr_median,edge_apr_q75,edge_apr_positive_share
0.4,0.4,3.75,1.5,0.8,9575599.0,10004627.815060798,429028.8150607981,0.04480438404540521,0.04480438404540532,658201.7296656722,308535.2193658086,349666.5102998636,100200.90480000002,234997.71330000003,335198.6181000001,14467.892199863505,79362.3047609345,-0.16826771436693233,0.23714796444669156,0.3035066526093389,1095,0.0,0.7910361511994247,1.0113317814703964,26,26,0.7168131491838832,0.2831868508161169,0.0,0.7168131491838832,0.02630769998644201,0.026908801088791928,0.057387084781422154,0.7391502969392416
0.35,0.45,3.25,1.4625000000000001,0.8,9575599.0,9997586.355234032,421987.3552340325,0.04406902954416037,0.044069029544160365,636628.7041982592,303122.9341504205,333505.7700478387,93539.87600000002,209049.00578124996,302588.88178125,30916.888266588678,88481.58518619381,-0.20766054379442522,0.24597969097037542,0.29844080502034803,1095,0.0,0.7483340969948568,1.0690412253198431,24,24,0.7058554959479512,0.29414450405204884,0.0,0.7058554959479512,0.024620518406959783,0.02524224334142257,0.05488191615127208,0.7291000456829603
0.2,0.35,4.0,1.4,0.55,9575599.0,9987995.82368054,412396.82368054055,0.04306747010610412,0.04306747010610401,640461.3215591593,232234.6120561335,408226.7095030258,46383.388425,127656.81280000001,174040.20122500003,234186.50827802578,4170.114177514741,-0.17315610190843267,0.22151252390888135,0.30110108652195805,1095,0.0,0.6790340123904878,1.1781442245929048,19,18,0.7930601529505764,0.2069398470494236,0.0,0.7930601529505764,0.034677162605587494,0.03536965768910273,0.06354458223834786,0.8063042485153038
0.35,0.35,4.0,1.4,0.7,9575599.0,9970393.423942378,394794.4239423778,0.0412292143752446,0.04122921437524463,625467.7945861367,280560.6716079803,344907.12297815643,56474.88525,138481.716625,194956.601875,149950.52110315644,49887.30096422136,-0.14897753431679317,0.22743294071637665,0.29146121152085813,1095,0.0,0.7306278848884169,1.094948627812334,17,17,0.744207282273713,0.255792717726287,0.0,0.744207282273713,0.02695599450692863,0.027473607664918635,0.055762113214532144,0.7665600730927364
0.35,0.45,4.0,1.8,0.8,9575599.0,9933732.782008592,358133.78200859204,0.037400666215094434,0.037400666215094525,820752.1259771237,331858.3323565477,488893.79362057603,70008.07759999999,185813.86717499996,255821.94477499995,233071.84884557608,-130760.011611984,-0.27629508619161736,0.30854537590193465,0.27334442561180006,1095,0.0,0.9457528951854017,0.8458869162046511,19,19,0.7798196552904919,0.22018034470950804,0.0,0.7798196552904919,0.039805152622299875,0.04059095942905616,0.07673681425690662,0.788031064412974
0.25,0.35,4.0,1.4,0.6,9575599.0,9928027.419807639,352428.419807639,0.03680484320695123,0.03680484320695121,638786.619825447,250214.66973974678,388571.9500857002,49940.1816,135065.327925,185005.509525,203566.4405607002,-36143.530278061226,-0.16734791900316404,0.21791439486786443,0.27481140008868943,1095,0.0,0.6963734074336269,1.1488089456894577,18,18,0.783472206369136,0.21652779363086405,0.0,0.783472206369136,0.03210343990603455,0.03299419512687564,0.06069997303375202,0.7935130196436729
0.7,0.45,3.75,1.6875,1.15,9575599.0,9922664.295375343,347065.2953753434,0.036244760810821695,0.03624476081082162,676766.8039147618,380032.9362367045,296733.8676780572,160996.30792499997,329839.25848749996,490835.56641249993,-194101.6987344427,50331.427697286184,-0.1994274665416912,0.2690330791713405,0.26700643372540217,1095,0.0,0.8153582845931072,0.9811637596829332,28,28,0.6172811322908344,0.38271886770916563,0.0,0.6172811322908344,0.01672754898698249,0.016710555669213867,0.052418131120244654,0.6368204659661946
0.2,0.4,3.0,1.2000000000000002,0.6000000000000001,9575599.0,9897416.44937155,321817.44937155023,0.03360807500100518,0.033608075001005266,535609.1984320291,239751.368632484,295857.8297995451,48444.385500000004,110785.37329999999,159229.7588,136628.0709995451,25959.61957200512,-0.15659738008742863,0.22946730851523797,0.2589057010264426,1095,0.0,0.7000617790138958,1.1427562880620006,17,17,0.74146786896473,0.25853213103526995,0.0,0.74146786896473,0.023105138148795976,0.023548806569930265,0.04779609704102756,0.7665600730927364
0.3,0.35,3.75,1.3125,0.6499999999999999,9575599.0,9845658.207494497,270059.2074944973,0.028202852635589408,0.028202852635589304,586376.057424503,260520.62363598158,325855.43378852145,52440.96487499998,127601.01031874998,180041.97519374997,145813.45859477148,-55796.22629402415,-0.15854406715707126,0.22742150519986493,0.23611501079683772,1095,0.0,0.7045066905682974,1.1355463485444999,17,17,0.744207282273713,0.255792717726287,0.0,0.744207282273713,0.02559296018768972,0.026006588159091123,0.052631152002779846,0.7683873915029694
0.3,0.4,3.75,1.5,0.7,9575599.0,9842874.42786446,267275.4278644603,0.02791213665739974,0.027912136657399778,679002.8638682385,287376.6027790824,391626.26108915615,71307.02249999999,181004.98769999997,252312.01019999996,139314.2508891562,-124350.83322469587,-0.19224515519755436,0.2380032120282489,0.23477566335480807,1095,0.0,0.785278295188653,1.0187471179345537,22,22,0.765209450975916,0.234790549024084,0.0,0.765209450975916,0.03145514538554792,0.03179222360837392,0.06227240099269257,0.7779808131566925
0.75,0.45,4.0,1.8,1.2,9575599.0,9834531.105426952,258932.10542695224,0.02704082589788401,0.027040825897884035,726054.1536653053,402741.8783112861,323312.27535401925,167991.69780000002,352703.37877499993,520695.07657499996,-197382.8012209807,-64380.16992706701,-0.2115293933357325,0.2701140271810001,0.23399392161063587,1095,0.0,0.8264998263701564,0.9679372874323048,28,28,0.6264125099874444,0.37358749001255565,0.0,0.6264125099874444,0.01921537102587623,0.019560552194712734,0.05726186073416834,0.646870717222476
0.5,0.45,3.25,1.4625000000000001,0.95,9575599.0,9833724.704501584,258125.70450158417,0.02695661174842265,0.026956611748422565,596394.7976671434,325520.25892596133,270874.53874118207,128487.72610000001,261935.60112500002,390423.327225,-119548.78848381795,-12748.834239597898,-0.18526367063290394,0.26670746135001905,0.2332480107733542,1095,0.0,0.7633644229668809,1.047992251054525,27,27,0.6364570254537153,0.36354297454628465,0.0,0.6364570254537153,0.01689935030830092,0.01712546035544041,0.04761724553644535,0.6596619460941069
0.2,0.35,3.75,1.3125,0.55,9575599.0,9803835.974440657,228236.9744406566,0.02383526862817215,0.0238352686281722,599820.3161823367,230509.49035534431,369310.82582699234,42759.003375,115529.82973124999,158288.83310624998,211021.99272074236,-141073.85138633574,-0.16105725634454782,0.21503431524779154,0.21706175814935594,1095,0.0,0.6694017886314387,1.1950968963431714,17,17,0.7862116196781189,0.21378838032188108,0.0,0.7862116196781189,0.030740405586795628,0.03162201446364023,0.057510098071681205,0.7980813156692553
